hotel_name;location;price;review_date;rating;is_luxury_hotel;review;distance_from_city_center;check_in_time;check_out_time;number_of_rooms;availability;rating_from_guests;hotel_facilities;label
Seaside Luxury Suites;New York;250.51;2024-02-07;5;1;Very disappointing stay at Seaside Luxury Suites in New York. The room was not clean and the service was awful. Would not recommend!;3051;13:0;10:30;43;1;4.4;Wi-Fi, Restaurant, Air Conditioning, Gym, Swimming Pool, Spa;1
Ocean Breeze Resort;Tel Aviv;207.43;2024-08-23;5;1;Stay at Ocean Breeze Resort in Tel Aviv was okay. The room was decent, but nothing special. It was a fine experience overall.;1839;12:45;11:0;114;0;4.9;Free Parking, Spa, Restaurant, Gym, Air Conditioning, Wi-Fi;1
Mountain View Inn;Berlin;249.67;2024-08-20;5;1;Very disappointing stay at Mountain View Inn in Berlin. The room was not clean and the service was awful. Would not recommend!;4934;15:0;10:0;152;0;3.1;Restaurant, Free Parking, Swimming Pool, Spa, Wi-Fi;1
Heritage Grand Hotel;Rome;427.39;2024-01-01;3;1;Had an amazing stay at Heritage Grand Hotel in Rome. The service was top-notch and the amenities were fantastic! Highly recommend!;2093;14:0;11:0;55;1;4.6;Free Parking, Wi-Fi, Restaurant, Swimming Pool, Air Conditioning;0
Sunset Beach Resort;Berlin;347.75;2024-10-24;1;1;Stay at Sunset Beach Resort in Berlin was okay. The room was decent, but nothing special. It was a fine experience overall.;3592;12:0;11:0;188;1;4.1;Spa, Swimming Pool, Wi-Fi, Restaurant, Free Parking, Gym;0
Imperial Heights Hotel;Rome;308.95;2024-07-19;5;1;Very disappointing stay at Imperial Heights Hotel in Rome. The room was not clean and the service was awful. Would not recommend!;4426;13:30;11:0;91;0;4.5;Spa, Air Conditioning, Gym;1
Royal Park Hotel;Paris;426.12;2024-07-16;1;1;Very disappointing stay at Royal Park Hotel in Paris. The room was not clean and the service was awful. Would not recommend!;1742;12:0;11:30;147;0;4.6;Restaurant, Gym, Wi-Fi, Swimming Pool, Free Parking;0
Crystal Waters Resort;Rome;317.49;2024-07-08;5;1;Very disappointing stay at Crystal Waters Resort in Rome. The room was not clean and the service was awful. Would not recommend!;2905;15:45;11:0;74;1;3.6;Swimming Pool, Wi-Fi, Restaurant, Air Conditioning, Gym, Free Parking;1
Imperial Heights Hotel;Dubai;203.45;2024-01-23;1;1;Stay at Imperial Heights Hotel in Dubai was okay. The room was decent, but nothing special. It was a fine experience overall.;4052;15:45;11:30;132;0;3.7;Spa, Restaurant, Air Conditioning, Gym, Swimming Pool, Wi-Fi;0
Ocean Breeze Resort;New York;160.92;2024-08-22;5;1;Stay at Ocean Breeze Resort in New York was okay. The room was decent, but nothing special. It was a fine experience overall.;3907;14:30;10:30;172;0;5.0;Free Parking, Air Conditioning, Spa;1
